id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL,source_file,combined_timestamp
11,Getting a flu vaccine is the best way to prevent the flu and its complications for almost everyone. The flu vaccine can lower the risk of getting the flu. It also can lower the risk of having serious illness from the flu and needing to stay in the hospital or dying of the flu. https://t.co/lfwmwDwyJh,https://x.com/iVAXMandaluyong/status/1852275431497765245,tweet,ivax.mandaluyong,@iVAXMandaluyong,,,,0,0,0,0,6,0,2024-11-01 02:04:11,https://pbs.twimg.com/media/GbSar_VbcAAmqrD.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
12,"Covid vaccine in my left arm, Flu vaccine in my right.... i have well and truly been pricked down this morning!",https://x.com/aarongspot27/status/1852275053687120105,tweet,Meat covered skeleton of Aaron,@aarongspot27,"London, England",,,2,0,0,4,129,0,2024-11-01 02:02:41,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
13,Where is the information for the public regarding the over 65’s being offered a flu vaccine many times stronger than the standard one this year?,https://x.com/minxyminx1952/status/1852270473633050723,tweet,Minxyminx1952🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧,@minxyminx1952,This green and pleasant land,,,0,0,2,0,94,0,2024-11-01 01:44:29,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
14,"@1MikeFairclough They are still damaging children Mike, they are giving all children this flu vaccine nasal spray. Zero benefit.
100% damage.",https://x.com/169Nomis/status/1852266832817692832,tweet,Nomis 169,@169Nomis,Not in or near London anymore,@1MikeFairclough,,3,0,2,16,221,0,2024-11-01 01:30:01,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
15,"""The sickest I've ever been for two days is after taking a vaccine.""

Tell me you've never actually been sick without telling me. That's like saying ""the worst accident I've ever had driving a car is buying insurance.""

You don't get a flu vaccine to prevent mild ick.",https://x.com/BasinTheo/status/1852264883951407430,tweet,Great Basin Theo,@BasinTheo,,,,1,0,0,1,15,0,2024-11-01 01:22:16,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
16,OK - I know I’m a wuss but I’m sporting a tiny bit of a sore arm today after my Flu and Covid Vaccine. BUT.. I’d rather than have a teeny tiny sore arm than catch or give any form of flu to you ☺️ Have you had yours @WWLNHS staff? #FluVaccine #CovidVaccine https://t.co/l1jKdIVMZZ,https://x.com/Julessw/status/1852263820284100622,tweet,Juliette Tait,@Julessw,,@WWLNHS,"#FluVaccine,#CovidVaccine",0,0,2,5,59,0,2024-11-01 01:18:02,https://pbs.twimg.com/media/GbSQIEfWcAAA_ZI.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
17,"Why Flu vaccine is more important? 

Influenza (flu) vaccines (often called “flu shots”) are vaccines that protect against the four influenza viruses that research indicates will be most common during the upcoming season. https://t.co/nFs2wtPiqx",https://x.com/Ivaxsanjose/status/1852243674253480351,tweet,Ivax San Jose,@Ivaxsanjose,,,,0,0,0,0,5,0,2024-10-31 23:57:59,https://pbs.twimg.com/media/GbR9zjhakAA6Ifm.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
18,"@litabitmitz @AaronSiriSG if increase in cancer, any cancer, is possibly linked to covid vaccines, it’ll show up as a signal on vaers and/or vsd — like clots from the johnson&amp;johnson vaccine, the risks of seizures after childrens’ vaxxes and older adults getting the covid/flu vaccine.",https://x.com/bamalonia/status/1852243308031910117,tweet,turbobama,@bamalonia,,"@litabitmitz,@AaronSiriSG",,0,0,0,0,11,0,2024-10-31 23:56:32,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
19,@higgsri @stkirsch @EpiEllie I quit taking the flu vaccine over 2 decades ago &amp; never caught it again. I did read peer reviewed studies about how taking it makes you more susceptible to catching other respiratory viruses including corona viruses.,https://x.com/SFTBIB/status/1852239305940295703,tweet,Shayne Freeman,@SFTBIB,,"@higgsri,@stkirsch,@EpiEllie",,1,0,0,0,19,0,2024-10-31 23:40:38,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
20,@_APWK_ Find a new doctor.  I refuse the flu vaccine way before it was popular to refuse vaccines...,https://x.com/FoodsEssential/status/1852233265983209736,tweet,EssentialFoods,@FoodsEssential,,@_APWK_,,0,0,0,0,6,0,2024-10-31 23:16:38,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
21,"@KristenDavisPh2 @_APWK_ Well yeah, the pill ain't, much safer than the flu vaccine",https://x.com/FoodsEssential/status/1852232994053849457,tweet,EssentialFoods,@FoodsEssential,,"@KristenDavisPh2,@_APWK_",,0,0,0,0,5,0,2024-10-31 23:15:33,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
22,"They should watch this: 

The Cochrane Collaboration and the British Medical Journal have done 3 giant meta reviews on the flu vaccine literature in 2010, 2014 and 2017, and here's what they found:  

1. You have to get 100 flu shots to prevent 1 case of flu.

2. There is zero",https://x.com/LouiseC78322432/status/1852229572692955486,tweet,Louise Cunningham,@LouiseC78322432,,,,0,0,0,0,6,0,2024-10-31 23:01:57,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
23,"Flu vaccine today. Some chills. Better go to sleep… most vaccines have side effects. Not new.
Once I had a bad one, triggered another infection.
People should be informed more honestly. Be given advice and time to rest. 
I still vaccinate but I am more aware.",https://x.com/MoreauGabarain/status/1852222224008126510,tweet,Laetitia Moreau-Gabarain MS MBA,@MoreauGabarain,France & Minnesota ,,,0,0,0,5,49,0,2024-10-31 22:32:45,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
24,At-home flu vaccine approved by FDA — what to know https://t.co/9KpzXISHiP,https://x.com/LLynneIrwin/status/1852213984663081210,tweet,Lynne Irwin🎗️,@LLynneIrwin,Here There & Everywhere Canada,,,0,0,0,0,12,0,2024-10-31 22:00:01,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
25,@dr_andrealove That distrust has bleed over too vaccines in general why is the smallpox vaccine at some point a silver bullet but not the COVID vaccine never mind you the flu vaccine isn’t a silver bullet either,https://x.com/BillPeters30/status/1852204677942677568,tweet,Bill Peters,@BillPeters30,Baku  Azerbaijan/Richland WA,@dr_andrealove,,0,0,0,0,7,0,2024-10-31 21:23:02,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
26,"Pharma company Sanofi sponsored an event in Arena Coliseo last Wednesday to urge people to get their flu vaccine shots.

As part of the event, Team Vaccine (Mascara Dorada &amp; Audaz) defeated Team Flu (Disturbio &amp; Raider) https://t.co/wMothv1HuO",https://x.com/luchablog/status/1852200438986084527,tweet,luchablog,@luchablog,outside the ring,,,2,1,7,27,1622,1,2024-10-31 21:06:11,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
27,@timmbitts2 @stopvaccinating But u took the flu vaccine and other shots for sure in the last 20 years ??,https://x.com/mystartupangel/status/1852198181297086516,tweet,Reality no one can cope with,@mystartupangel,London,"@timmbitts2,@stopvaccinating",,0,0,0,0,8,0,2024-10-31 20:57:13,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
28,"@rf2048 @jessesingal Do you have any examples of other vaccines that suck like COVID and the flu vaccine?  Because ya, they both suck.",https://x.com/J_L_Fairchild/status/1852198131460690210,tweet,J L Fairchild 🇺🇸🇮🇱📟,@J_L_Fairchild,"Seattle, WA","@rf2048,@jessesingal",,1,0,0,0,19,0,2024-10-31 20:57:01,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
29,"@KamalaHQ If that was the case wouldn't the flu vaccine result in being just as sick? 🤦
The COVID vaccine shouldn't have stuck out as the ""sickest I've been in 15 years."" 🤦",https://x.com/theTrumpSpring/status/1852193672021811275,tweet,Trump'n it!,@theTrumpSpring,The red part of Illinois.,@KamalaHQ,,0,0,0,0,4,0,2024-10-31 20:39:18,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
30,"So, for something like, I don’t know, the flu vaccine, the shot puts a strain of the flu virus in your system at the same time as the vaccine itself. That way, when the good stuff is put in ya, the good stuff doesn’t react badly to what’s already in you.",https://x.com/LuciDracul/status/1852193151387123931,tweet,Reverend Luci Dracul,@LuciDracul,Southside of Valhalla,,,1,0,0,0,4,0,2024-10-31 20:37:14,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
31,"🎃 submitted my religious exemption as a pagan on Halloween because I haven't had a flu vaccine in over 25 years! Got accepted almost instantly! Sure, I’ll wear a mask for 90 days as their “mark of shame,” but no means no it doesn't mean try to catch 22 me using my livelihood. ✌️",https://x.com/TitterAfterDark/status/1852192659164529062,tweet,𝔊̵̱̖̎̋̕͠꒒ꂑ꓅ꏸꑛ ♡ 𒆜‍ᴾ̴̆̈́͋,@TitterAfterDark,"Colorado, USA",,,1,0,0,0,12,0,2024-10-31 20:35:16,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
32,"The flu vaccine helps protect against influenza viruses that can cause seasonal flu. It reduces the risk of getting sick with the flu and experiencing its symptoms, which can range from mild to severe. https://t.co/39NbtRGMl0",https://x.com/IvaxLP08/status/1852192291370471566,tweet,Ivax Animal Bite and Vaccination Center -Las Piñas,@IvaxLP08,,,,0,0,0,0,6,0,2024-10-31 20:33:48,https://pbs.twimg.com/ext_tw_video_thumb/1852192240707473409/pu/img/H1NMrh-1gPXPYpEq.jpg,https://video.twimg.com/ext_tw_video/1852192240707473409/pu/vid/avc1/576x1024/NTsjTkE6kctf9eri.mp4?tag=12,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
33,@VigilantFox Hallelujah! But now the American people have lost their trust in health care. I'm 68 and don't want to take even the flu vaccine anymore. We are fed a diet that turns us into fat diabetics. Our Dr's don't know the facts about immunizations or why we are dying so young. Help!,https://x.com/kiwiji/status/1852178428541165729,tweet,Debra J. Andrus,@kiwiji,,@VigilantFox,,0,0,0,0,3,0,2024-10-31 19:38:43,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
34,"@J_L_Fairchild @jessesingal Actual vaccines, like the flu vaccine, also only prevent infection 60% of the time. That’s just how it works for respiratory diseases (which rapidly mutate). At the time the Covid vaccines came out it hadn’t changed significantly, which it did a few months later.",https://x.com/rf2048/status/1852177693837791586,tweet,RF 🇺🇸,@rf2048,"San Francisco, CA","@J_L_Fairchild,@jessesingal",,2,0,0,2,52,0,2024-10-31 19:35:48,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
35,"I got my flu vaccine and Covid vaccine today. I did it because my doctor, who I trust, said I should.",https://x.com/CorfmanTim/status/1852174602790637629,tweet,Tim Corfman,@CorfmanTim,,,,0,0,0,0,32,0,2024-10-31 19:23:31,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
36,"@HerbsandDirt I got my flu vaccine and Covid vaccine today. I did it because my doctor, who I trust, said I should.",https://x.com/CorfmanTim/status/1852174078838235470,tweet,Tim Corfman,@CorfmanTim,,@HerbsandDirt,,1,0,0,0,20,0,2024-10-31 19:21:26,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
37,"@kak2787 @DrSHankMD @KennedyForTheW Exactly!! I don’t get the flu vaccine, and neither do my spouse and our kids. We don’t get sick any more often than other families. 

Our neighbor got a flu 💉15 years ago, and has been sick with flu symptoms ever since.",https://x.com/AuntSuziQuilts/status/1852166301122199886,tweet,Aunt Suzi Quilts,@AuntSuziQuilts,,"@kak2787,@DrSHankMD,@KennedyForTheW",,0,0,0,0,6,0,2024-10-31 18:50:32,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
38,"Nonsense. I have had all my vaccines and never had a reaction like that severe.  The fact they increase the  interval between doses was because it was NOT intended to that.  
I understand my flu vaccine gives me some stuffy head symptoms but not severe bed ridden week long illness.",https://x.com/harmless_human/status/1852155389569339634,tweet,MostlyHarmless,@harmless_human,Pacific NW,"@Seirrz,@LibertyLockPod",,1,0,0,0,18,0,2024-10-31 18:07:10,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
39,@complex_maths @_APWK_ Cause they probably put it in the 2019 flu vaccine ffs . Wake up,https://x.com/cabbiereporting/status/1852155107191996671,tweet,MrCabDriver,@cabbiereporting,Pembroke Ontario,"@complex_maths,@_APWK_",,0,0,0,2,24,0,2024-10-31 18:06:03,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
40,Getting a flu vaccine is the best way to prevent the flu and its complications for almost everyone. The flu vaccine can lower the risk of getting the flu. It also can lower the risk of having serious illness from the flu and needing to stay in the hospital or dying of the flu. https://t.co/PZgYy7fSEh,https://x.com/iVAXMandaluyong/status/1852153177250107811,tweet,ivax.mandaluyong,@iVAXMandaluyong,,,,0,0,0,0,12,0,2024-10-31 17:58:23,https://pbs.twimg.com/media/GbQrf9EakAAy_fp.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
41,@RexChapman @ElieNYC A friends daughter who was a cheerleader at a local high school took the flu vaccine and it paralyzed her from the waist down. There is plenty of people that’s never had a flu shot including me you fuckin🤡,https://x.com/Kylegend21/status/1852152681021714616,tweet,Kylegend21,@Kylegend21,,"@RexChapman,@ElieNYC",,0,0,0,0,6,0,2024-10-31 17:56:25,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
42,"#Vaccines have saved 154 million lives over the last 50 years. As a hospitalist I’ve seen kids whose parents skipped vaccines: infants turning blue, struggling to breathe from whooping cough. So many children whose parents skipped the flu vaccine.
 https://t.co/i8QaGrC8ZV",https://x.com/LisaPatelMD/status/1852148692633133211,tweet,"Lisa Patel, MD, MESc",@LisaPatelMD,"San Francisco, CA",,#Vaccines,2,0,0,1,52,0,2024-10-31 17:40:34,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
43,"@dsundahl I stopped getting flu vaccines on active duty bc I got sick from them, which is how vaccines work. I was down hard for 3 days one year due to a flu vaccine. 

Dude, you are just...there are no words.",https://x.com/keydet89/status/1852148093728293325,tweet,Harbulary Battery,@keydet89,Planet Earth,@dsundahl,,0,0,0,0,11,0,2024-10-31 17:38:11,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
44,"If they won’t apologize, vote them out!
Vote @LibertariansAus instead. We won’t lock down healthy for the flu. We won’t force people to be injected with a flu vaccine either, we will leave that choice between the individual and their GP.",https://x.com/libertarianact/status/1852145640102379884,tweet,Libertarian Party ACT,@libertarianact,Canberra,@LibertariansAus,,0,0,2,7,59,0,2024-10-31 17:28:26,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
45,"@FionaMattatall A great example of why one should  listen to reliable health care providers on this topic. 

😬 that is not the correct way that the flu vaccine is administered.",https://x.com/aleksmineyko/status/1852144642940379397,tweet,Aleksandra Mineyko,@aleksmineyko,"Calgary, Alberta",@FionaMattatall,,1,0,0,7,66,0,2024-10-31 17:24:28,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
46,"@BlairZingle @FionaMattatall That might work but I can't say. I'm not a doctor. 

The important thing is to get your flu vaccine!",https://x.com/Seameritt/status/1852144086322499644,tweet,Nadine + Nelson | Bunnies but make them scary,@Seameritt,"Edmonton,AB","@BlairZingle,@FionaMattatall",,1,0,0,13,156,0,2024-10-31 17:22:16,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
47,"@adiosmuchachos4 @ByronWhoDey @DrNadolsky @blokeyfx flu vaccine is printing
https://t.co/cc4w1ZPq75. https://t.co/TUoKsLvNsS",https://x.com/cptgrumpus/status/1852142064307442137,tweet,cpt.grumpus,@cptgrumpus,,"@adiosmuchachos4,@ByronWhoDey,@DrNadolsky,@blokeyfx",,1,0,0,0,10,0,2024-10-31 17:14:13,https://pbs.twimg.com/media/GbQhY_6XAAAsO__.png,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
48,"Does Flu vaccine cause kidney problems?
 ""Yes,various  glomerular diseases and acute kidney injury have been reported  following immunization with certain vaccines including influenza,  pneumococcal, and hepatitis B vaccines"".",https://x.com/ottawa2015/status/1852142044644274431,tweet,Pankaj Jain,@ottawa2015,,,,0,0,0,1,13,0,2024-10-31 17:14:09,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
49,"@Sarah_Katilyn Don't forget...
""Tells the doctor 'the flu vaccine makes me get the flu'.""",https://x.com/TradingIsFunny/status/1852141720466559191,tweet,Trading Is Funny 😂,@TradingIsFunny,The Future,@Sarah_Katilyn,,1,0,0,1,13,0,2024-10-31 17:12:51,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
50,"@RVKristi @AaronSiriSG That doesn't sound reasonable. Covid vaccine was not a vaccine, just sold as one.  You may need a flu vaccine or shingles vax dependant on your family history as you get older. Good luck.",https://x.com/chm97/status/1852140967899328902,tweet,JP,@chm97,TEXAS,"@RVKristi,@AaronSiriSG",,1,0,0,0,16,0,2024-10-31 17:09:52,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
51,"@RexChapman @ElieNYC So you got the Covid vaccine and never got Covid? Bc that’s not how that works. Have you never got the flu after getting the flu vaccine? Bc you still can. I never got the Covid vaccine, I got Covid, I didn’t die and I don’t have to worry about what experimental drugs are in me",https://x.com/SaltyDevilDog13/status/1852139360050626824,tweet,Rusty,@SaltyDevilDog13,"Keansburg, NJ","@RexChapman,@ElieNYC",,0,0,0,0,5,0,2024-10-31 17:03:29,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
52,I've had lots of great conversations. I've never gotten a flu vaccine.,https://x.com/MinorityView/status/1852135122218197409,tweet,Minority View,@MinorityView,Seacoast of Bohemia,,,0,0,0,0,40,0,2024-10-31 16:46:38,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
53,"@BGatesIsaPyscho They are losing. Covid vaccine exposed and rejected, Bird flu vaccine failed to make it, MonkeyPox vaccine failed to make it.  MRNA vaccines are bioweapons that they thought they could push on people through planned epidemics to contol the world’s population. Question everything",https://x.com/drASTpitt/status/1852135089053864119,tweet,Dr.OrthoLex,@drASTpitt,"Pennsylvania, USA",@BGatesIsaPyscho,,0,0,0,0,25,0,2024-10-31 16:46:30,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
54,"@KamalaHQ oh shit, so I got sick every year because of my flu vaccine?",https://x.com/tillorboy/status/1852133498670158164,tweet,tillor,@tillorboy,,@KamalaHQ,,0,0,0,0,4,0,2024-10-31 16:40:11,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
55,"🚨 BREAKING NEWS: Biden Accidentally Bites Baby in Chicken Costume, Calls Bill Gates to Launch Emergency Global Bird Flu Vaccine Initiative

WASHINGTON, D.C. — During a playful Halloween mix-up, President Joe Biden accidentally took a bite out of a baby dressed as a chicken at the White House Halloween event. While initially brushed off as a harmless moment, it quickly escalated when Biden, visibly alarmed, phoned longtime friend and fellow “avian safety advocate” Bill Gates to initiate an immediate global bird flu vaccine campaign.

“What if this is the beginning of the Bird Flu 2.0 we’ve all been worried about?” Biden reportedly whispered to Gates over the phone, casting glances at the costume-clad child as if it might hatch a biohazardous egg at any moment.

Gates, unfazed and ready for action, sprang into high gear, announcing a “Worldwide Bird Immunization Project” to protect against any “avian-adjacent pathogens.” He then called on scientists from around the world to expedite a universal vaccine for all birds—and anyone dressed as birds—by early next week. “We’re not just protecting poultry,” Gates clarified. “We’re protecting the future.”

In a hastily organized press conference, Biden stood beside Gates, warning Americans about the “very real possibility” of a chicken-baby contagion and the urgent need for preventative measures. “Look, folks, if biting one tiny chicken baby can make me feel this way, imagine what an entire flock could do,” Biden declared. “We can’t wait for these ‘chickens’ to come home to roost.”

Gates nodded solemnly and announced he would be diverting billions into bird flu research, stating, “Whether it’s a farm chicken, a wild duck, or a child in a chicken costume, we need to be prepared.”

The pair then unveiled their joint plan: a global, mandatory bird flu vaccine rollout, prioritizing costumes at every trick-or-treating event in 2025. Biden assured the public, “Together, with Bill, we can make sure the world is safe from future poultry pandemics—real or imaginary.”",https://x.com/mdtlion/status/1852132550657085936,tweet,mdtlion,@mdtlion,"Melbourne, Australia",,,2,0,0,0,77,0,2024-10-31 16:36:25,https://pbs.twimg.com/media/GbQYvBGbsAAV3-f.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
56,"@KamalaHQ Just imagine if they took away the flu vaccine. Or for those older than 50, the shingles vaccine. Pneumonia? People are not forced to take them if they do not want to. But they do help keep people out of the hospital and in some cases dying.",https://x.com/dmc73/status/1852131404806766776,tweet,Dwayne M.,@dmc73,"Denver, Colorado",@KamalaHQ,,0,0,0,1,9,0,2024-10-31 16:31:52,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
57,"@Cinmacd @1goodtern …my squeak would not have applied to different vaccines. And don’t forget there’s now Novavax, if you tolerate flu vaccine then you may well be fine with Novavax",https://x.com/shintomac/status/1852129400428302804,tweet,Steven Hodges,@shintomac,UK,"@Cinmacd,@1goodtern",,0,0,0,0,26,0,2024-10-31 16:23:54,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
58,"@GovofCO Flu vaccine sure, the virus for Covid has already evolved making the vaccine almost worthless",https://x.com/RDgoldenCO/status/1852129005916352820,tweet,R D,@RDgoldenCO,🇺🇸,@GovofCO,,0,0,0,0,10,0,2024-10-31 16:22:20,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
59,"@GirlMom2x @VigilantFox The only yr I got the flu vaccine as an adult I was sick for 15 days

I have never had it again and NEVER will.
I'm done putting BIG PHARMA in my body.
If that means I die, so be it.
I've changed MANY health  elements that will improve my natural health.
🇺🇲💪",https://x.com/TBMKEBADGER/status/1852128671831605605,tweet,Unapologetic Patriot 🇺🇸💪,@TBMKEBADGER,AMERICA,"@GirlMom2x,@VigilantFox",,1,0,0,1,12,0,2024-10-31 16:21:00,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
60,"A flu vaccine is the first and best way to reduce your chances of getting the flu and spreading it to others.

LOCATED AT: 📍 2nd Floor MABINI ST BRGY QUEZON DISTRICT CABANATUAN CITY  

Message us:
📲 +639671239705

📌We're Open daily from 7AM-12MN
📌 All kinds of vaccines https://t.co/hiQ6AXAN5u",https://x.com/IvaxCabanatuan/status/1852126887696637995,tweet,Ivax Cabanatuan,@IvaxCabanatuan,,,,0,0,0,0,10,0,2024-10-31 16:13:55,https://pbs.twimg.com/media/GbQTls0bcAAXHRf.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
